Territory,Location type,Property use typology,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
el Parc i la Llacuna del Poblenou,Barri,Office,-,-,3,12,8,8,4,4,8,51,3,-,2
el Parc i la Llacuna del Poblenou,Barri,Touristic,2,3,5,1,1,2,25,6,3,1,4,1,2
el Parc i la Llacuna del Poblenou,Barri,Plots/Land,-,1,2,1,3,2,4,4,9,91,10,5,1
el Parc i la Llacuna del Poblenou,Barri,Industrial,9,7,26,14,40,73,38,28,15,25,23,32,24
el Parc i la Llacuna del Poblenou,Barri,Facilities,-,-,2,4,-,-,1,1,-,-,-,-,-
el Parc i la Llacuna del Poblenou,Barri,Not avalaible,13,29,94,11,48,-,1,2,1,6,26,1,-
la Vila Olímpica del Poblenou,Barri,Residential,30,21,57,52,41,67,51,68,33,55,46,64,34
la Vila Olímpica del Poblenou,Barri,Parking,126,33,136,150,173,113,170,123,68,131,90,79,42
la Vila Olímpica del Poblenou,Barri,Commercial,2,1,7,9,11,14,18,14,7,52,33,11,9
la Vila Olímpica del Poblenou,Barri,Office,6,-,-,6,30,2,5,-,2,2,-,5,-
la Vila Olímpica del Poblenou,Barri,Touristic,-,-,1,1,2,1,2,-,-,-,-,-,-
la Vila Olímpica del Poblenou,Barri,Plots/Land,-,-,1,2,-,4,-,1,-,-,1,-,-
la Vila Olímpica del Poblenou,Barri,Industrial,-,4,3,3,10,12,5,2,2,5,2,3,3
la Vila Olímpica del Poblenou,Barri,Facilities,-,-,-,-,-,-,-,1,-,1,2,2,-
la Vila Olímpica del Poblenou,Barri,Not avalaible,1,-,-,-,-,1,-,-,1,-,-,1,-
el Poblenou,Barri,Residential,111,201,269,276,392,303,313,313,215,292,330,303,235
el Poblenou,Barri,Parking,76,101,234,230,263,294,232,143,138,247,156,176,143
el Poblenou,Barri,Commercial,15,18,19,29,54,37,36,57,32,21,28,33,32
el Poblenou,Barri,Office,5,4,6,11,16,24,7,27,7,13,8,5,6
el Poblenou,Barri,Touristic,12,11,8,5,5,6,2,3,1,2,-,-,-
el Poblenou,Barri,Plots/Land,4,2,3,29,5,10,104,21,36,129,54,50,3
el Poblenou,Barri,Industrial,1,3,4,7,13,45,26,16,10,3,6,2,2
el Poblenou,Barri,Facilities,-,-,-,-,1,1,-,2,-,-,5,-,-
el Poblenou,Barri,Not avalaible,54,57,183,42,17,8,4,2,16,3,19,13,2
Diagonal Mar i el Front Marítim del Poblenou,Barri,Residential,76,89,362,117,114,157,118,116,54,120,144,120,86
Diagonal Mar i el Front Marítim del Poblenou,Barri,Parking,131,130,432,131,119,191,133,137,85,107,174,137,85
Diagonal Mar i el Front Marítim del Poblenou,Barri,Commercial,2,1,8,6,10,5,7,6,6,6,12,10,4
Diagonal Mar i el Front Marítim del Poblenou,Barri,Office,2,4,5,2,3,-,2,5,3,1,-,1,-
Diagonal Mar i el Front Marítim del Poblenou,Barri,Touristic,4,4,3,2,4,5,2,1,-,-,1,-,-
Diagonal Mar i el Front Marítim del Poblenou,Barri,Plots/Land,-,1,-,-,-,-,-,-,-,-,-,-,36
Diagonal Mar i el Front Marítim del Poblenou,Barri,Facilities,-,-,2,-,-,-,-,-,-,-,-,-,-
Diagonal Mar i el Front Marítim del Poblenou,Barri,Not avalaible,4,3,7,104,92,15,-,-,-,-,-,-,16
el Besòs i el Maresme,Barri,Residential,74,101,175,179,222,248,218,239,150,230,287,268,178
el Besòs i el Maresme,Barri,Parking,5,8,7,16,16,9,19,13,14,28,35,24,11
el Besòs i el Maresme,Barri,Commercial,3,2,3,10,4,1,4,11,9,11,19,11,12
el Besòs i el Maresme,Barri,Office,-,-,-,-,-,-,37,19,7,4,1,2,1
el Besòs i el Maresme,Barri,Touristic,3,4,10,167,1,1,1,-,-,3,14,-,-
el Besòs i el Maresme,Barri,Plots/Land,-,-,-,-,-,1,1,51,-,3,-,-,-
el Besòs i el Maresme,Barri,Industrial,-,1,1,2,-,-,2,1,-,-,-,1,-
el Besòs i el Maresme,Barri,Facilities,-,-,-,-,1,-,-,-,-,1,1,-,1
el Besòs i el Maresme,Barri,Not avalaible,1,2,-,-,-,-,-,-,-,-,-,-,-
Provençals del Poblenou,Barri,Residential,88,76,101,106,163,217,184,173,108,135,177,126,101
Provençals del Poblenou,Barri,Parking,71,93,69,85,110,154,156,150,59,115,78,159,48
Provençals del Poblenou,Barri,Commercial,3,7,2,7,14,16,13,15,6,10,10,11,2
Provençals del Poblenou,Barri,Office,1,21,20,3,2,3,3,8,2,-,3,9,1
Provençals del Poblenou,Barri,Touristic,-,2,3,1,-,-,1,-,-,1,-,-,1
Provençals del Poblenou,Barri,Plots/Land,17,2,-,3,1,14,7,4,5,3,11,3,-
Provençals del Poblenou,Barri,Industrial,-,1,1,6,4,6,16,9,7,17,1,3,4
Provençals del Poblenou,Barri,Facilities,1,-,-,1,-,1,-,1,-,1,-,-,-
Provençals del Poblenou,Barri,Not avalaible,22,-,34,83,24,7,2,-,-,-,-,-,-
Sant Martí de Provençals,Barri,Residential,88,114,147,166,196,210,194,196,138,191,232,202,125
Sant Martí de Provençals,Barri,Parking,12,18,46,34,36,57,50,54,44,54,35,57,18
Sant Martí de Provençals,Barri,Commercial,4,6,5,17,15,18,18,12,8,19,16,14,10
Sant Martí de Provençals,Barri,Office,-,-,-,-,-,1,2,1,-,-,3,-,1
Sant Martí de Provençals,Barri,Touristic,-,1,2,-,-,-,-,-,-,-,-,-,1
Sant Martí de Provençals,Barri,Plots/Land,-,-,-,-,-,-,-,-,-,-,3,1,2
Sant Martí de Provençals,Barri,Facilities,-,-,-,-,1,1,1,1,-,-,-,1,-
Sant Martí de Provençals,Barri,Not avalaible,1,2,3,1,-,-,1,-,-,2,-,1,-
la Verneda i la Pau,Barri,Residential,82,88,132,167,204,247,251,221,201,216,249,205,151
la Verneda i la Pau,Barri,Parking,17,11,28,31,26,50,50,48,67,65,42,46,118
la Verneda i la Pau,Barri,Commercial,4,3,8,12,13,22,19,25,15,16,19,10,15
la Verneda i la Pau,Barri,Office,2,-,-,-,-,5,-,4,1,1,7,3,1
la Verneda i la Pau,Barri,Touristic,-,1,3,-,-,-,-,-,-,-,-,-,-
la Verneda i la Pau,Barri,Plots/Land,-,-,-,-,-,-,4,4,2,-,-,3,2
la Verneda i la Pau,Barri,Industrial,1,2,2,2,2,3,1,3,5,4,2,9,39
la Verneda i la Pau,Barri,Facilities,-,-,1,2,1,-,-,-,-,-,-,-,-
la Verneda i la Pau,Barri,Not avalaible,6,3,-,1,-,-,-,-,-,-,-,-,-
